Chromosome,Start,End,Strand,P-RING1B,KO-RING1B,log2('P-RING1B' divided by 'KO-RING1B'),P-BMI,KO-BMI,log2('P-BMI' divided by 'KO-BMI'),P-SUZ12,KO-SUZ12,log2('P-SUZ12' divided by 'KO-SUZ12'),KO-MEL18,P-MEL18,log2('P-MEL18' divided by 'KO-MEL18'),P-H3K27Me3,KO-H3K27Me3,log2('P-H3K27Me3' divided by 'KO-H3K27Me3'),P-CBX4,KO-CBX4,log2('P-CBX4' divided by 'KO-CBX4'),P-CBX8,KO-CBX8,log2('P-CBX8' divided by 'KO-CBX8'),P-RYBP,KO-RYBP,log2('P-RYBP' divided by 'KO-RYBP'),Gene Name,Nearest Ensembl,,
chr1,110605773,110611470,+,4.11,2.91,0.50,5.09,3.47,0.56,11.96,2.41,2.31,4.97,2.54,-0.97,114.02,606.51,-2.41,5.27,2.13,1.31,3.85,6.85,-0.83,3.32,2.10,0.66,KCNA2,ENSG00000177301,,
chr11,122303703,122311879,+,11.96,1.71,2.80,18.73,3.80,2.30,5.86,1.21,2.28,6.29,10.83,0.78,113.99,249.68,-1.13,13.63,1.97,2.79,14.46,5.94,1.28,1.46,0.99,0.56,MIR100HG,ENSG00000255248,,
chr1,2011713,2021479,+,2.73,1.26,1.12,3.74,2.05,0.87,10.13,2.70,1.91,2.86,1.77,-0.69,113.98,868.13,-2.93,3.25,1.62,1.01,2.58,3.63,-0.49,1.82,1.25,0.54,GABRD,ENSG00000187730,,
chr17,50584060,50590369,+,1.67,1.44,0.21,2.02,1.64,0.30,6.16,2.47,1.32,2.83,1.12,-1.34,113.83,1064.89,-3.23,1.76,1.47,0.26,1.15,3.38,-1.55,1.56,0.99,0.65,CACNA1G-AS1,ENSG00000250107,,
chr7,116520591,116529769,+,8.48,1.52,2.48,11.47,2.55,2.17,5.79,1.40,2.04,3.70,6.34,0.78,113.44,322.72,-1.51,7.97,1.85,2.10,8.88,5.95,0.58,1.50,0.86,0.81,CAV1,ENSG00000105974,,
chr1,200238355,200252612,+,17.05,10.67,0.68,26.99,18.20,0.57,10.60,3.44,1.62,33.46,16.03,-1.06,113.17,878.55,-2.96,19.00,10.10,0.91,18.07,41.47,-1.20,2.51,3.09,-0.30,LINC00862,ENSG00000203721,,
chr16,85705675,85714211,+,3.17,1.95,0.70,3.33,2.43,0.45,11.45,2.15,2.41,3.24,2.08,-0.64,113.14,562.19,-2.31,4.35,1.88,1.21,2.41,3.59,-0.57,1.99,1.39,0.51,GINS2,ENSG00000131153,,
chr1,154511084,154523092,+,7.06,4.26,0.73,9.82,6.48,0.60,8.97,3.71,1.28,10.01,4.75,-1.07,113.11,1367.34,-3.60,6.62,3.12,1.09,5.37,11.51,-1.10,1.99,1.16,0.78,TDRD10,ENSG00000163239,,
chr5,73298853,73304024,+,6.23,5.49,0.18,7.71,7.20,0.10,5.38,7.88,-0.55,11.32,3.65,-1.63,112.98,1337.28,-3.57,5.19,3.73,0.48,5.10,19.44,-1.93,1.22,1.40,-0.20,LINC02230,,,
chr6,75200774,75211314,+,5.07,1.50,1.75,5.67,2.16,1.40,11.52,2.33,2.31,3.60,3.03,-0.25,112.97,342.08,-1.60,5.29,1.58,1.74,4.22,4.77,-0.18,2.28,1.54,0.56,COL12A1,ENSG00000111799,,
chr17,7336877,7347251,+,3.00,1.80,0.74,3.46,2.42,0.51,8.45,3.14,1.43,3.35,1.95,-0.78,112.91,852.24,-2.92,3.46,1.54,1.17,2.03,4.30,-1.08,1.54,1.33,0.21,ACAP1,ENSG00000072818,,
chr1,10859703,10872011,+,3.85,1.91,1.01,4.69,2.94,0.67,9.31,2.69,1.79,3.92,2.11,-0.89,112.54,917.31,-3.03,4.27,1.89,1.18,2.96,4.01,-0.44,2.10,1.38,0.61,CASZ1,ENSG00000130940,,
chr3,194304965,194311060,+,3.60,1.50,1.27,4.15,2.20,0.92,6.77,1.33,2.34,2.56,2.64,0.05,112.54,377.68,-1.75,4.20,1.51,1.48,3.11,4.33,-0.48,2.96,1.77,0.74,LINC00887,ENSG00000214145,,
chr16,77549767,77561547,+,4.82,1.60,1.59,7.29,2.69,1.44,5.97,1.37,2.13,4.10,4.08,-0.01,112.44,354.81,-1.66,5.48,1.53,1.84,6.67,5.92,0.17,1.09,0.89,0.28,ADAMTS18,ENSG00000140873,,
chr4,185461776,185472132,+,7.81,2.33,1.75,10.82,2.97,1.86,5.98,1.46,2.03,5.29,5.68,0.10,112.38,537.35,-2.26,7.78,2.14,1.86,7.20,7.34,-0.03,1.25,1.23,0.03,LOC105377590,ENSG00000249679,,
chr19,40562854,40571027,+,2.83,1.86,0.61,3.41,2.26,0.59,8.50,2.11,2.01,3.40,3.07,-0.14,112.37,508.61,-2.18,3.35,1.51,1.14,1.85,3.69,-0.99,1.97,1.42,0.46,SHKBP1,ENSG00000160410,,
chr3,134404801,134412652,+,10.84,2.20,2.30,14.70,3.02,2.28,12.61,1.73,2.86,4.87,8.95,0.88,112.35,423.55,-1.91,13.99,2.33,2.59,9.81,6.32,0.63,2.74,1.38,0.99,MIR4788,ENSG00000284561,,
chr9,123987968,123991161,+,4.67,1.17,2.00,6.32,1.86,1.76,5.30,1.31,2.02,2.63,3.39,0.36,112.28,540.59,-2.27,4.76,0.89,2.42,3.51,3.15,0.16,1.22,0.70,0.80,LOC100505588,ENSG00000236668,,
chr11,75663253,75671407,+,4.56,2.08,1.13,5.52,2.31,1.26,10.20,1.99,2.36,3.68,2.68,-0.46,112.07,269.26,-1.26,4.77,2.20,1.12,2.92,3.53,-0.27,2.97,2.02,0.56,MAP6,ENSG00000171533,,
chr17,39859767,39868995,+,6.22,4.36,0.51,9.54,7.33,0.38,8.48,3.96,1.10,12.11,5.96,-1.02,111.88,937.59,-3.07,7.48,3.05,1.30,6.94,16.70,-1.27,1.54,1.41,0.12,IKZF3,ENSG00000161405,,
chr1,213028138,213034327,+,7.41,3.12,1.25,11.47,6.15,0.90,7.65,2.50,1.62,9.33,6.33,-0.56,111.68,798.87,-2.84,8.14,3.36,1.28,8.47,14.50,-0.78,1.85,1.23,0.59,ANGEL2,ENSG00000174606,,
chr14,36510191,36516894,+,5.66,6.35,-0.17,6.83,8.59,-0.33,6.17,8.29,-0.43,12.41,3.51,-1.82,111.24,1120.47,-3.33,4.89,3.95,0.31,4.57,19.00,-2.06,1.30,1.49,-0.19,SFTA3,ENSG00000229415,,
chr6,7722738,7732836,+,4.51,4.12,0.13,5.05,4.92,0.04,10.69,4.34,1.30,7.36,3.16,-1.22,111.19,827.63,-2.90,4.89,2.62,0.90,3.42,10.61,-1.63,2.47,2.34,0.08,BMP6,ENSG00000153162,,
chr9,124039387,124050906,+,6.39,1.19,2.43,6.78,2.05,1.73,11.25,1.31,3.10,2.71,4.53,0.74,111.16,154.58,-0.48,7.50,1.54,2.29,5.16,3.37,0.62,2.17,1.24,0.81,LHX2,ENSG00000106689,,
chr12,453622,469462,+,3.54,2.41,0.55,4.39,2.72,0.69,9.66,2.52,1.94,4.50,2.20,-1.03,111.05,700.95,-2.66,4.16,1.86,1.16,2.47,6.34,-1.36,1.88,1.92,-0.03,B4GALNT3,ENSG00000139044,,
chr22,50310540,50323945,+,2.25,1.14,0.97,2.99,1.52,0.98,14.86,1.27,3.55,2.36,1.64,-0.53,110.99,458.20,-2.05,3.72,1.08,1.79,1.33,2.45,-0.87,3.44,1.09,1.66,PLXNB2,ENSG00000196576,,
chr2,219253494,219262713,+,5.06,1.90,1.41,6.21,3.16,0.97,12.26,2.28,2.42,4.68,3.38,-0.47,110.98,599.88,-2.43,6.58,2.24,1.56,3.79,6.35,-0.74,2.77,2.36,0.23,TUBA4A,ENSG00000127824,,
chr2,25164124,25176925,+,4.16,1.99,1.06,5.44,2.95,0.88,9.05,2.27,1.99,4.72,2.99,-0.66,110.64,705.14,-2.67,5.70,2.27,1.33,4.37,6.60,-0.60,1.30,1.15,0.18,POMC,ENSG00000115138,,
chr15,98580536,98589565,+,14.64,6.67,1.13,21.24,12.07,0.82,7.07,2.47,1.51,22.30,14.83,-0.59,110.38,722.82,-2.71,15.28,5.78,1.40,17.84,25.78,-0.53,1.70,1.22,0.49,IGF1R,ENSG00000140443,,
chr17,76013948,76025634,+,1.87,1.48,0.34,1.96,1.68,0.23,8.02,1.51,2.41,2.29,0.99,-1.21,110.37,649.97,-2.56,1.85,1.36,0.45,1.09,2.47,-1.17,1.89,1.48,0.35,EVPL,ENSG00000167880,,
chr6,36642619,36652541,+,5.68,2.40,1.24,7.10,3.59,0.98,10.92,2.28,2.26,4.80,3.85,-0.32,110.35,810.23,-2.88,6.30,1.81,1.80,4.09,6.24,-0.61,1.95,1.22,0.68,MIR3925,ENSG00000263894,,
chr11,14376595,14383388,+,12.55,2.31,2.44,15.92,3.32,2.26,7.45,1.45,2.36,5.45,9.61,0.82,110.29,421.47,-1.93,12.19,1.87,2.70,13.23,6.92,0.94,2.31,1.32,0.81,RRAS2,ENSG00000133818,,
chr17,81522962,81530863,+,3.77,2.40,0.65,3.24,2.60,0.32,10.18,2.85,1.84,2.93,1.93,-0.60,110.14,505.20,-2.20,3.94,2.38,0.72,1.53,3.29,-1.10,3.86,2.81,0.46,FSCN2,ENSG00000186765,,
chr10,8065940,8068548,+,6.70,3.45,0.96,8.73,4.64,0.91,4.76,3.45,0.46,10.28,5.27,-0.96,109.96,758.46,-2.79,6.05,3.24,0.90,6.29,15.71,-1.32,1.15,1.11,0.05,GATA3,ENSG00000107485,,
chr8,70069995,70075578,+,5.61,9.76,-0.80,7.36,11.09,-0.59,4.58,5.14,-0.16,17.34,4.38,-1.98,109.83,748.26,-2.77,5.27,5.81,-0.14,6.01,22.60,-1.91,0.99,1.38,-0.48,PRDM14,ENSG00000147596,,
chr1,206667183,206684812,+,7.00,3.28,1.09,9.33,5.36,0.80,9.11,3.04,1.58,8.30,5.38,-0.63,109.81,789.79,-2.85,7.59,3.16,1.27,6.21,11.12,-0.84,2.00,2.00,0.00,MAPKAPK2,ENSG00000162889,,
chr11,69698229,69709986,+,3.45,1.84,0.91,3.87,2.47,0.65,14.80,4.93,1.58,3.65,1.94,-0.91,109.76,913.18,-3.06,4.24,1.72,1.30,2.48,5.32,-1.10,2.34,1.32,0.82,FGF19,ENSG00000162344,,
chr10,101071424,101081982,+,3.52,1.88,0.91,4.57,2.73,0.74,8.48,2.67,1.67,3.75,2.50,-0.58,109.75,675.61,-2.62,3.64,1.30,1.48,3.32,5.00,-0.59,1.50,1.06,0.50,KAZALD1,ENSG00000107821,,
chr22,27536621,27544102,+,2.44,1.25,0.97,3.17,1.66,0.93,7.56,1.63,2.21,2.77,1.89,-0.55,109.71,817.50,-2.90,3.05,0.80,1.94,2.50,3.31,-0.40,1.28,0.84,0.61,LINC02554,ENSG00000226741,,
chr13,99888801,99893958,+,9.48,4.56,1.06,10.72,6.41,0.74,4.87,2.58,0.92,9.62,6.30,-0.61,109.63,499.89,-2.19,7.77,2.98,1.38,7.92,11.84,-0.58,1.22,1.35,-0.15,LOC101927437,,,
chr9,126510966,126512754,+,7.60,1.73,2.14,8.16,2.03,2.00,5.75,1.60,1.85,3.01,4.23,0.49,109.49,313.75,-1.52,6.20,1.25,2.31,5.91,3.95,0.58,1.59,0.87,0.87,NRON,,,
chr8,10724025,10725734,+,4.55,2.30,0.98,6.42,3.00,1.09,6.53,3.30,0.98,4.85,3.09,-0.65,109.34,631.04,-2.53,4.77,1.85,1.37,5.42,8.89,-0.71,1.25,0.85,0.56,LOC102723313,,,
chr11,126996721,127004065,+,3.97,2.10,0.92,5.30,2.56,1.05,7.36,2.58,1.51,4.33,2.52,-0.78,109.02,748.17,-2.78,4.48,1.65,1.44,4.09,6.32,-0.63,1.64,1.52,0.11,KIRREL3,ENSG00000149571,,
chr10,114763882,114775856,+,6.65,1.72,1.95,9.84,3.21,1.61,10.07,1.90,2.40,4.48,4.93,0.14,108.55,398.43,-1.88,8.57,1.84,2.22,7.27,6.35,0.20,1.72,0.92,0.91,ABLIM1,ENSG00000099204,,
chr10,22362987,22383187,+,22.55,2.69,3.07,31.53,4.72,2.74,9.21,1.27,2.85,8.48,20.91,1.30,108.55,386.35,-1.83,23.24,2.28,3.35,23.80,9.85,1.27,2.30,0.91,1.34,SPAG6,ENSG00000077327,,
chr11,36372255,36381290,+,6.53,1.90,1.78,8.31,2.25,1.89,7.71,1.83,2.08,3.96,3.96,0.00,108.50,386.01,-1.83,6.56,1.60,2.04,5.78,7.39,-0.36,1.07,1.29,-0.27,PRR5L,ENSG00000135362,,
chr19,1802532,1813452,+,2.25,1.24,0.86,2.51,1.57,0.67,12.73,2.38,2.42,2.06,1.64,-0.32,108.46,431.08,-1.99,3.52,1.46,1.27,1.52,1.96,-0.37,2.25,1.39,0.69,ATP8B3,ENSG00000130270,,
chr12,54171092,54180716,+,4.55,2.22,1.04,5.21,3.23,0.69,8.01,3.05,1.39,4.86,2.78,-0.81,108.45,578.54,-2.42,3.91,1.41,1.47,3.46,6.40,-0.89,1.86,1.33,0.48,SMUG1,ENSG00000123415,,
chr5,73295816,73297889,+,5.78,5.06,0.19,7.54,6.49,0.22,5.30,6.68,-0.33,10.41,3.99,-1.38,108.41,1169.88,-3.43,5.20,3.51,0.57,5.13,17.36,-1.76,1.26,1.35,-0.10,LINC02230,,,
chr6,53348845,53355793,+,13.29,3.65,1.86,21.94,5.19,2.08,10.86,1.75,2.63,8.66,12.07,0.48,108.35,242.23,-1.16,17.38,3.88,2.16,16.19,12.28,0.40,5.23,2.30,1.19,ELOVL5,ENSG00000012660,,
chrX,105820175,105825657,+,13.18,4.89,1.43,18.56,7.62,1.28,6.52,2.75,1.24,11.85,9.64,-0.30,108.27,565.16,-2.38,13.87,4.37,1.67,14.83,17.41,-0.23,1.74,1.51,0.20,NRK,ENSG00000123572,,
chr20,63471040,63479895,+,2.73,1.63,0.75,2.46,1.54,0.68,10.33,1.74,2.57,2.16,1.36,-0.67,108.17,337.28,-1.64,4.13,2.06,1.01,1.80,2.85,-0.67,2.30,2.22,0.05,KCNQ2,ENSG00000075043,,
chr17,77880967,77894205,+,4.54,2.87,0.66,4.98,3.46,0.52,12.23,1.99,2.62,4.68,3.28,-0.51,108.07,642.34,-2.57,6.74,3.41,0.98,3.30,6.09,-0.88,3.25,2.81,0.21,LINC01973,ENSG00000204283,,
chr8,11764452,11766211,+,9.85,4.05,1.28,11.82,4.94,1.26,6.60,2.83,1.22,7.82,6.94,-0.17,107.92,353.90,-1.71,8.99,3.24,1.47,9.50,11.40,-0.26,2.15,1.73,0.31,C8orf49,,,
chr1,118984395,118993088,+,5.94,17.63,-1.57,6.58,22.96,-1.80,6.13,12.57,-1.04,33.93,3.71,-3.19,107.88,1341.24,-3.64,5.46,12.01,-1.14,5.06,52.35,-3.37,1.96,3.47,-0.83,TBX15,ENSG00000092607,,
chr6,135175309,135184350,+,12.05,2.55,2.24,16.29,2.85,2.52,12.18,1.90,2.68,4.67,8.65,0.89,107.57,276.51,-1.36,13.22,2.45,2.43,12.56,7.95,0.66,5.57,2.28,1.29,MYB,ENSG00000118513,,
chr4,112376616,112383235,+,9.87,3.51,1.49,11.31,4.75,1.25,6.54,1.88,1.80,8.33,8.25,-0.01,107.48,565.68,-2.40,8.83,3.05,1.53,8.63,11.64,-0.43,2.12,1.87,0.18,ALPK1,ENSG00000073331,,
chr19,45375032,45392116,+,2.67,0.98,1.44,3.72,1.75,1.09,9.70,1.64,2.56,2.34,1.84,-0.35,107.32,441.72,-2.04,4.51,1.38,1.71,2.12,2.83,-0.41,1.39,0.91,0.61,ERCC2,ENSG00000104884,,
chr3,165194308,165195956,+,10.97,1.98,2.47,15.21,3.31,2.20,5.15,1.76,1.55,3.61,9.34,1.37,107.21,276.80,-1.37,12.50,2.15,2.54,13.77,7.88,0.81,2.56,1.25,1.04,SLITRK3,ENSG00000121871,,
chr11,133949998,133960344,+,2.56,3.50,-0.45,2.44,3.31,-0.44,7.53,3.07,1.29,4.65,1.39,-1.74,107.02,656.18,-2.62,2.35,2.35,0.00,1.41,5.59,-1.98,2.50,2.94,-0.23,IGSF9B,ENSG00000080854,,
chr15,68320788,68325396,+,2.69,1.47,0.87,3.12,1.91,0.70,5.86,1.42,2.04,2.77,2.14,-0.37,106.94,536.91,-2.33,2.76,1.40,0.98,1.94,2.81,-0.54,1.39,0.87,0.68,FEM1B,ENSG00000169018,,
chr17,7288868,7303390,+,5.06,3.50,0.53,5.11,3.47,0.56,11.32,3.50,1.69,5.30,3.14,-0.75,106.89,592.67,-2.47,5.87,2.49,1.24,3.60,6.49,-0.85,4.39,3.49,0.33,YBX2,ENSG00000006047,,
chr22,35507997,35526541,+,2.92,1.35,1.11,3.79,2.27,0.74,7.97,1.32,2.60,2.61,2.01,-0.38,106.73,692.14,-2.70,3.62,1.53,1.24,1.97,3.16,-0.68,1.53,0.83,0.88,RASD2,ENSG00000100302,,
chrX,108730712,108738608,+,8.28,2.43,1.77,9.56,3.99,1.26,7.34,2.39,1.62,6.15,5.51,-0.16,106.40,528.78,-2.31,8.21,2.13,1.94,7.23,8.35,-0.21,2.21,1.62,0.45,IRS4,ENSG00000133124,,
chr2,120342894,120349174,+,1.92,2.06,-0.10,2.09,2.45,-0.23,7.81,4.54,0.78,3.18,0.93,-1.77,106.40,777.81,-2.87,2.10,1.79,0.23,1.74,4.35,-1.32,1.87,2.19,-0.23,INHBB,ENSG00000163083,,
chr4,185458611,185460844,+,9.36,1.63,2.52,16.30,3.09,2.40,4.07,0.93,2.13,6.18,9.18,0.57,106.28,459.50,-2.11,9.93,1.70,2.55,11.82,7.57,0.64,1.11,0.89,0.32,LOC105377590,ENSG00000249679,,
chr11,33861053,33864299,+,5.05,0.87,2.54,5.86,1.57,1.90,5.65,0.89,2.66,2.59,3.13,0.27,106.26,78.18,0.44,4.41,1.23,1.84,4.71,2.66,0.82,1.15,1.19,-0.05,LMO2,ENSG00000135363,,
chr17,59329383,59338764,+,14.24,4.35,1.71,16.42,5.30,1.63,11.49,2.55,2.17,9.23,10.08,0.13,106.20,412.92,-1.96,15.74,3.62,2.12,11.88,11.06,0.10,2.79,1.79,0.63,YPEL2,ENSG00000175155,,
chr19,18971312,18987642,+,3.09,0.98,1.65,3.76,1.54,1.29,9.29,0.93,3.32,1.91,1.98,0.05,106.17,319.18,-1.59,3.94,1.14,1.79,2.60,1.97,0.40,1.87,1.08,0.79,HOMER3,ENSG00000051128,,
chr10,100454065,100459091,+,8.92,1.47,2.61,12.30,2.52,2.29,7.05,1.86,1.93,3.43,6.64,0.95,106.12,304.18,-1.52,9.43,1.42,2.73,7.58,5.09,0.58,1.30,0.69,0.91,WNT8B,ENSG00000075290,,
chr17,50590879,50613990,+,2.05,1.60,0.36,1.99,1.71,0.21,9.53,2.38,2.00,2.83,1.24,-1.19,105.96,953.84,-3.17,2.37,1.25,0.92,1.60,3.26,-1.03,1.91,1.13,0.75,ABCC3,ENSG00000108846,,
chr17,76505615,76526133,+,3.73,1.45,1.36,4.10,2.03,1.01,8.52,1.81,2.24,3.19,2.44,-0.39,105.96,719.33,-2.76,4.15,1.48,1.49,2.45,3.24,-0.40,1.91,1.08,0.81,PRCD,ENSG00000214140,,
chr18,57798788,57805334,+,4.99,1.06,2.23,6.86,2.00,1.78,6.29,2.13,1.56,2.50,3.77,0.60,105.92,290.02,-1.45,6.52,1.16,2.49,5.37,3.42,0.65,1.23,0.92,0.43,ATP8B1,ENSG00000081923,,
chr12,117090854,117102815,+,2.48,1.51,0.71,2.28,2.66,-0.22,11.19,2.68,2.06,3.73,1.53,-1.29,105.89,872.78,-3.04,2.91,1.43,1.03,1.73,3.99,-1.20,1.99,1.30,0.62,TESC,ENSG00000088992,,
chr2,23381040,23392029,+,10.23,3.56,1.52,12.94,4.97,1.38,8.75,2.66,1.72,7.59,7.95,0.07,105.71,345.21,-1.71,11.99,2.79,2.10,9.79,9.55,0.04,2.20,1.96,0.17,KLHL29,ENSG00000119771,,
chr17,48632077,48633352,+,3.44,7.25,-1.07,4.72,8.86,-0.91,5.29,10.92,-1.05,12.98,2.82,-2.20,105.68,1315.00,-3.64,3.40,3.96,-0.22,3.56,17.28,-2.28,1.26,1.13,0.16,MIR196A1,ENSG00000210741,,
chr1,85045041,85052110,+,5.56,3.03,0.88,9.09,5.15,0.82,5.77,3.79,0.61,7.26,5.03,-0.53,105.64,672.22,-2.67,5.94,2.77,1.10,6.40,12.51,-0.97,1.30,1.02,0.35,MCOLN3,ENSG00000055732,,
chr19,49055366,49075298,+,1.56,1.06,0.56,1.95,1.61,0.27,8.42,2.19,1.94,2.18,0.94,-1.21,105.61,661.59,-2.65,2.11,1.21,0.80,1.10,2.61,-1.25,1.49,0.98,0.60,NTF4,ENSG00000225950,,
chr8,67026891,67035265,+,11.70,1.34,3.13,18.44,2.85,2.70,6.78,1.01,2.75,5.26,9.84,0.90,105.61,201.16,-0.93,12.16,1.91,2.67,13.50,6.57,1.04,1.77,1.15,0.62,PPP1R42,ENSG00000178125,,
chr11,64934251,64948497,+,4.64,1.90,1.29,7.45,2.92,1.35,10.49,2.02,2.37,3.76,3.56,-0.08,105.40,794.40,-2.91,5.70,1.86,1.62,4.55,6.97,-0.61,2.07,1.09,0.92,GPHA2,ENSG00000149735,,
chr16,3073466,3100783,+,3.33,1.66,1.00,3.75,2.60,0.53,7.96,3.04,1.39,4.18,2.02,-1.05,105.20,933.28,-3.15,3.37,1.86,0.86,2.35,3.79,-0.69,1.63,1.50,0.12,ZSCAN10,ENSG00000130182,,
chr4,112384798,112386496,+,8.84,2.77,1.68,10.96,4.73,1.21,4.31,1.75,1.30,7.36,7.49,0.02,105.20,729.53,-2.79,7.78,2.34,1.73,7.51,12.23,-0.70,1.51,1.21,0.32,ALPK1,ENSG00000073331,,
chr6,151803978,151815244,+,8.48,2.45,1.79,11.31,4.49,1.33,10.18,3.35,1.60,5.41,7.71,0.51,105.15,582.04,-2.47,9.45,2.33,2.02,9.71,10.38,-0.10,1.88,1.01,0.90,ESR1,ENSG00000091831,,
chr3,165196522,165199721,+,10.65,2.15,2.31,14.88,3.49,2.09,4.80,1.72,1.48,3.68,9.24,1.33,105.09,253.82,-1.27,12.17,2.10,2.53,13.61,8.00,0.77,2.32,1.16,0.99,SLITRK3,ENSG00000121871,,
chr9,123983939,123986994,+,4.68,1.26,1.90,6.19,2.00,1.63,5.02,1.18,2.08,2.40,3.23,0.43,104.93,579.73,-2.47,4.60,0.95,2.28,3.27,3.42,-0.07,1.09,0.72,0.61,LOC100505588,ENSG00000236668,,
chr2,72144417,72152336,+,4.69,2.82,0.73,4.60,3.83,0.26,9.30,5.49,0.76,3.94,2.05,-0.94,104.79,701.74,-2.74,4.30,2.34,0.88,3.87,6.65,-0.78,2.35,2.23,0.08,CYP26B1,ENSG00000003137,,
chr19,45311180,45329976,+,2.10,1.01,1.06,2.87,1.28,1.17,10.05,1.62,2.64,2.29,1.34,-0.77,104.50,435.54,-2.06,3.26,1.08,1.60,1.16,3.34,-1.53,1.68,1.27,0.41,CKM,ENSG00000104879,,
chr2,98931108,98939574,+,6.23,2.49,1.32,7.52,3.09,1.28,6.71,2.12,1.66,5.50,3.96,-0.47,104.43,456.09,-2.13,6.36,2.24,1.51,6.23,7.07,-0.18,2.29,1.57,0.55,KIAA1211L,ENSG00000196872,,
chr17,35431783,35451748,+,8.68,4.14,1.07,12.54,6.38,0.98,6.01,3.36,0.84,10.35,7.15,-0.53,104.41,868.07,-3.06,9.24,2.95,1.65,8.76,13.69,-0.64,1.63,1.00,0.71,SLFN13,ENSG00000154760,,
chr14,35526925,35536361,+,14.29,3.36,2.09,21.34,6.23,1.78,13.17,1.98,2.74,7.33,12.25,0.74,104.41,272.84,-1.39,17.46,2.70,2.69,17.19,10.74,0.68,3.40,1.96,0.79,INSM2,ENSG00000168348,,
chr18,24007375,24017245,+,8.49,2.52,1.75,10.58,3.30,1.68,8.22,1.23,2.74,5.41,6.04,0.16,104.32,311.79,-1.58,8.28,2.03,2.03,7.68,6.34,0.28,1.84,1.17,0.65,TTC39C,ENSG00000168234,,
chr7,120987368,120995666,+,13.80,2.69,2.36,21.73,4.93,2.14,8.10,1.63,2.32,7.77,13.08,0.75,104.12,288.33,-1.47,15.87,2.52,2.66,19.18,11.25,0.77,1.90,1.04,0.87,CPED1,ENSG00000106034,,
chr6,106091930,106094466,+,11.72,5.72,1.04,17.81,9.05,0.98,6.67,3.58,0.90,17.03,11.10,-0.62,104.11,927.54,-3.16,10.99,4.92,1.16,12.55,25.05,-1.00,1.68,1.26,0.42,PRDM1,ENSG00000057657,,
chr9,136245148,136279993,+,2.14,1.19,0.85,2.08,1.54,0.43,7.00,1.59,2.14,2.03,1.25,-0.70,104.08,485.59,-2.22,2.23,1.10,1.02,1.27,1.99,-0.65,1.92,0.93,1.04,QSOX2,ENSG00000165661,,
chr2,74507063,74514931,+,4.95,7.25,-0.55,5.38,8.17,-0.60,7.43,4.91,0.60,12.20,2.69,-2.18,104.08,730.24,-2.81,5.22,5.08,0.04,4.04,17.36,-2.10,1.89,2.60,-0.46,PCGF1,ENSG00000115289,,
chr7,33901484,33910070,+,9.50,2.47,1.95,13.82,3.81,1.86,8.34,1.62,2.36,5.72,7.81,0.45,103.98,471.56,-2.18,9.85,3.12,1.66,10.96,8.16,0.43,2.01,1.59,0.34,BMPER,ENSG00000164619,,
chr6,119359038,119360225,+,13.52,2.42,2.48,22.08,4.90,2.17,6.27,1.35,2.21,7.87,14.63,0.89,103.88,304.34,-1.55,14.72,2.28,2.69,16.78,9.16,0.87,1.96,0.83,1.24,MAN1A1,ENSG00000111885,,
chr8,22049505,22054816,+,1.84,0.95,0.96,2.31,1.68,0.46,7.48,1.96,1.93,1.66,1.11,-0.57,103.59,524.10,-2.34,2.76,1.07,1.36,1.15,2.44,-1.08,1.69,1.27,0.41,DMTN,ENSG00000158856,,
chr3,71782544,71787249,+,6.21,3.74,0.73,8.43,6.09,0.47,5.54,2.10,1.40,10.18,4.72,-1.11,103.49,624.02,-2.59,6.16,3.18,0.95,6.63,13.05,-0.98,1.21,1.65,-0.45,PROK2,ENSG00000163421,,
chr15,89358413,89365675,+,3.46,2.83,0.29,2.52,2.24,0.17,13.31,2.18,2.61,3.97,1.57,-1.34,103.30,256.33,-1.31,3.27,2.50,0.39,3.14,4.39,-0.48,5.11,3.86,0.41,MIR9-3HG,ENSG00000255571,,
chr8,70067925,70068849,+,5.06,9.00,-0.83,6.77,10.88,-0.68,4.09,4.82,-0.24,17.49,3.92,-2.16,103.25,702.19,-2.77,4.49,5.80,-0.37,5.63,20.83,-1.89,0.96,1.49,-0.64,PRDM14,ENSG00000147596,,
chr13,78608712,78612619,+,5.54,3.31,0.74,6.16,3.53,0.80,6.50,2.65,1.29,6.19,4.49,-0.46,103.25,410.22,-1.99,5.92,2.08,1.51,5.51,10.39,-0.92,1.36,1.02,0.41,POU4F1,ENSG00000152192,,
chr7,73800264,73808543,+,7.79,1.52,2.36,13.08,3.00,2.12,8.43,1.37,2.62,5.36,6.99,0.38,102.94,510.45,-2.31,10.13,2.14,2.24,8.55,6.07,0.49,1.74,0.76,1.20,CLDN4,ENSG00000189143,,
chr6,11038939,11049525,+,6.32,4.41,0.52,9.41,6.84,0.46,10.36,3.91,1.40,11.86,4.98,-1.25,102.90,813.38,-2.98,7.56,3.78,1.00,6.72,15.10,-1.17,1.59,1.31,0.28,ELOVL2,ENSG00000197977,,
chr15,40837658,40852522,+,2.48,1.59,0.64,3.42,2.13,0.68,10.37,2.48,2.06,3.34,1.64,-1.03,102.84,801.04,-2.96,3.09,1.32,1.23,1.85,3.65,-0.98,1.42,0.98,0.54,SPINT1-AS1,ENSG00000261183,,
