ModelID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode
ACH-000260,SK-N-AS,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL
ACH-000261,RERF-LC-AI,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC
ACH-000262,UOK101,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,CCRCC
ACH-000263,KASUMI-1,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000264,Calu-6,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000265,KP-4,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000266,SNU-213,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000267,HDLM-2,Lymphoid,Hodgkin Lymphoma,Hodgkin Lymphoma,HL
ACH-000268,SNU-245,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Extrahepatic Cholangiocarcinoma,EHCH
ACH-000269,AM-38,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000270,HPAC,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000271,SU-DHL-10,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",DLBCLNOS
ACH-000272,SLR 24,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,CCRCC
ACH-000273,SF539,CNS/Brain,Diffuse Glioma,Gliosarcoma,GSARC
ACH-000274,Hs 852.T,Skin,Melanoma,Melanoma,MEL
ACH-000275,Hs 834.T,Fibroblast,Non-Cancerous,"Fibroblast, Skin",
ACH-000276,HCC38,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,IDC
ACH-000277,HCC1419,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,IDC
ACH-000278,COV362,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC
ACH-000279,EWS502,Bone,Ewing Sarcoma,Ewing Sarcoma,ES
ACH-000280,SNU-840,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,"Brenner Tumor, Malignant",BTMOV
ACH-000281,KP-2,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000282,NCI-H1755,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000283,A1207,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000284,Hs 840.T,Fibroblast,Non-Cancerous,"Fibroblast, Upper Aerodigestive",
ACH-000285,Toledo,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",DLBCLNOS
ACH-000286,SNU-1033,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,READ
ACH-000287,NU-DUL-1,Lymphoid,Mature B-Cell Neoplasms,Activated B-cell Type,ABC
ACH-000288,BT-549,Breast,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",BRCNOS
ACH-000289,SNU-466,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000290,NCI-H209,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000291,OV-90,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,SOC
ACH-000292,NCI-H841,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000293,KLE,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,UCEC
ACH-000294,NB-4,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000295,EM-2,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",CMLBCRABL1
ACH-000296,OUMS-23,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-000297,NCI-H889,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000298,NCI-H2029,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000299,HNT-34,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000300,SLR 25,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,CCRCC
ACH-000301,LAMA-84,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",CMLBCRABL1
ACH-000302,SNU-1077,Uterus,Endometrial Carcinoma,Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor,UCS
ACH-000303,SNU-5,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,STAD
ACH-000304,WM-115,Skin,Melanoma,Melanoma,MEL
ACH-000305,EC-GI-10,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,ESCC
ACH-000306,Hs 688(A).T,Fibroblast,Non-Cancerous,"Fibroblast, Skin",
ACH-000307,PK-1,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000308,EFO-21,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,SOC
ACH-000309,SK-LU-1,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000310,IMR-32,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL
ACH-000311,NCI-H2122,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000312,SK-N-BE(2),Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL
ACH-000313,KMRC-3,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,CCRCC
ACH-000314,HCC-2108,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000315,KARPAS-422,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",DLBCLNOS
ACH-000316,SNU-886,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HCC
ACH-000317,TUHR14TKB,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,RCC
ACH-000318,TE-10,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,ESCC
ACH-000319,MPP 89,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",PLEMESO
ACH-000320,PSN1,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000321,MOLM-6,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",CMLBCRABL1
ACH-000322,HT-144,Skin,Melanoma,Melanoma,MEL
ACH-000323,42-MG-BA,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000324,JHOC-5,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,CCOV
ACH-000325,SNU-620,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,STAD
ACH-000326,JURL-MK1,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",CMLBCRABL1
ACH-000327,NCI-H1395,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000328,LN-215,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000329,CCF-STTG1,CNS/Brain,Diffuse Glioma,Astrocytoma,ASTR
ACH-000330,EFM-19,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,IDC
ACH-000331,IST-MES2,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",PLEMESO
ACH-000332,YAPC,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000333,JHOM-2B,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Mucinous Ovarian Cancer,MOV
ACH-000334,DB,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",DLBCLNOS
ACH-000335,MSTO-211H,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Biphasic Type",PLBMESO
ACH-000336,OCI-AML3,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000337,NCI-H3122,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000338,SR-786,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Positive,ALCLALKP
ACH-000339,HCC-461,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000340,Hs 870.T,Fibroblast,Non-Cancerous,"Fibroblast, Bone",
ACH-000341,SK-N-FI,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL
ACH-000342,CL-14,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-000343,NCI-H522,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000344,SNU-668,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Diffuse Type Stomach Adenocarcinoma,DSTAD
ACH-000345,KP-N-RT-BM-1,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL
ACH-000346,JVM-3,Lymphoid,Mature B-Cell Neoplasms,B-Cell Prolymphocytic Leukemia,BPLL
ACH-000347,QGP-1,Pancreas,Pancreatic Neuroendocrine Tumor,Pancreatic Neuroendocrine Tumor,PANET
ACH-000348,RPMI-7951,Skin,Melanoma,Melanoma,MEL
ACH-000349,HCC1500,Breast,Breast Ductal Carcinoma In Situ,Breast Ductal Carcinoma In Situ,DCIS
ACH-000350,COLO-678,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-000351,MKN1,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Adenosquamous Carcinoma of the Stomach,STAS
ACH-000352,HCC1428,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,BRCA
ACH-000353,TE-15,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,ESCC
ACH-000354,Capan-1,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000355,NCI-H82,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000356,MKN-45,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Diffuse Type Stomach Adenocarcinoma,DSTAD
ACH-000357,JeKo-1,Lymphoid,Mature B-Cell Neoplasms,Mantle Cell Lymphoma,MCL
ACH-000358,NCI-H69,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000359,MG-63,Bone,Osteosarcoma,Osteosarcoma,OS
ACH-000360,NCI-H508,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-000361,SK-HEP-1,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HCC
ACH-000362,MOLM-13,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000363,SK-MM-2,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000364,U-2 OS,Bone,Osteosarcoma,Osteosarcoma,OS
ACH-000365,SU-DHL-4,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",DLBCLNOS
ACH-000366,SK-N-DZ,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL
ACH-000367,NCI-H226,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",PLEMESO
ACH-000368,SNU-1105,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000369,MOLM-16,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000370,SNU-626,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000371,RL,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",DLBCLNOS
ACH-000372,P12-ICHIKAWA,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,TLL
ACH-000373,SKM-1,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000374,HCC1143,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,IDC
ACH-000375,G-402,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,RCC
ACH-000376,SF-295,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000377,SNU-478,Ampulla of Vater,Ampullary Carcinoma,Ampullary Carcinoma,AMPCA
ACH-000378,NCI-H647,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,LUAS
ACH-000379,NCI-H1781,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000380,KMS-12-BM,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000381,T84,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-000382,COR-L24,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000383,OE33,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Esophageal Adenocarcinoma,ESCA
ACH-000384,SW 780,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA
ACH-000385,SK-RC-52,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,RCC
ACH-000386,KG-1,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000387,TF-1,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000388,NU-DHL-1,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",DLBCLNOS
ACH-000389,H4,CNS/Brain,Diffuse Glioma,Astrocytoma,ASTR
ACH-000390,LUDLU-1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC
ACH-000391,MHH-ES-1,Bone,Ewing Sarcoma,Ewing Sarcoma,ES
ACH-000392,Calu-3,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000393,HLF,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HCC
ACH-000394,NCI-H2081,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000395,NCI-H520,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC
ACH-000396,J82,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA
ACH-000397,TEN,Uterus,Endometrial Carcinoma,Uterine Clear Cell Carcinoma,UCCC
ACH-000398,RI-1,Lymphoid,Mature B-Cell Neoplasms,Activated B-cell Type,ABC
ACH-000399,NCI-H2196,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000400,SK-CO-1,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-000401,COLO-800,Skin,Melanoma,Cutaneous Melanoma,SKCM
ACH-000402,BL-70,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,BL
ACH-000403,NCI-H747,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-000404,K029AX,Skin,Melanoma,Cutaneous Melanoma,SKCM
ACH-000405,MEC-1,Lymphoid,Mature B-Cell Neoplasms,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,CLLSLL
ACH-000406,U-937,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000407,SNU-685,Uterus,Endometrial Carcinoma,Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor,UCS
ACH-000408,TE-5,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,ESCC
ACH-000409,OVSAHO,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC
ACH-000410,Saos-2,Bone,Osteosarcoma,Osteosarcoma,OS
ACH-000411,769-P,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,CCRCC
ACH-000412,SNU-1197,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-000413,Hs 739.T,Fibroblast,Non-Cancerous,"Fibroblast, Breast",
ACH-000414,NCI-H1944,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000415,BICR 6,Head and Neck,Head and Neck Squamous Cell Carcinoma,Hypopharynx Squamous Cell Carcinoma,HPHSC
ACH-000416,NCI-H838,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000417,Panc 08.13,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000418,SW 1353,Bone,Chondrosarcoma,Chondrosarcoma,CHS
ACH-000419,KMS-28BM,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000420,SNU-449,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HCC
ACH-000421,SW837,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,READ
ACH-000422,SNU-475,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HCC
ACH-000423,SK-MEL-3,Skin,Melanoma,Cutaneous Melanoma,SKCM
ACH-000424,TC-71,Bone,Ewing Sarcoma,Ewing Sarcoma,ES
ACH-000425,UACC-62,Skin,Melanoma,Melanoma,MEL
ACH-000426,KMS-20,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000427,NCI-N87,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Tubular Stomach Adenocarcinoma,TSTAD
ACH-000428,UO-31,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,RCC
ACH-000429,A-704,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,RCC
ACH-000430,TYK-nu,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC
ACH-000431,NCI-H1694,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000432,BV-173,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",CMLBCRABL1
ACH-000433,Caki-1,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,CCRCC
ACH-000434,NCI-H1915,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC
ACH-000435,EFE-184,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,UCEC
ACH-000436,OCI-My7,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000437,SW 1088,CNS/Brain,Diffuse Glioma,Astrocytoma,ASTR
ACH-000438,Lu-65,Lung,Non-Small Cell Lung Cancer,Giant Cell Carcinoma of the Lung,GCLC
ACH-000439,ME-1,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000440,CA46,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,BL
ACH-000441,SH-4,Skin,Melanoma,Melanoma,MEL
ACH-000442,RERF-LC-Sq1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC
ACH-000443,OVKATE,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC
ACH-000444,LU99,Lung,Non-Small Cell Lung Cancer,Giant Cell Carcinoma of the Lung,GCLC
ACH-000445,KNS-60,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000446,KP-N-SI9s,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NBL
ACH-000447,NCI-H2228,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000448,NCI-H1666,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000449,MES-SA,Uterus,Uterine Sarcoma/Mesenchymal,Uterine Sarcoma/Mesenchymal,USARC
ACH-000450,MEL-HO,Skin,Melanoma,Melanoma,MEL
ACH-000451,NCI-H2085,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000452,TE-8,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,ESCC
ACH-000453,MOLP-2,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000454,HCC-95,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC
ACH-000455,LN-428,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000456,B-CPAP,Thyroid,Poorly Differentiated Thyroid Cancer,Poorly Differentiated Thyroid Cancer,THPD
ACH-000457,CAL-54,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,RCC
ACH-000458,CJM,Skin,Melanoma,Melanoma,MEL
ACH-000459,TUHR10TKB,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,CCRCC
ACH-000460,SNU-8,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,SOC
ACH-000461,SNU-1196,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Extrahepatic Cholangiocarcinoma,EHCH
ACH-000462,NALM-1,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",CMLBCRABL1
ACH-000463,NCI-H460,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC
ACH-000464,CAS-1,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000465,SK-MEL-1,Skin,Melanoma,Melanoma,MEL
ACH-000466,SNU-216,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Tubular Stomach Adenocarcinoma,TSTAD
ACH-000467,HCC-56,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-000468,PK-45H,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000469,YH-13,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000470,SW1463,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,READ
ACH-000471,Li-7,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HCC
ACH-000472,HSC-2,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC
ACH-000473,RT-112,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA
ACH-000475,huH-1,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HCC
ACH-000476,JHH-4,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HCC
ACH-000477,Malme-3M,Skin,Melanoma,Melanoma,MEL
ACH-000478,SNU-387,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HCC
ACH-000479,KNS-81,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000480,HuH-7,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HCC
ACH-000481,NCI-H2170,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC
ACH-000482,RERF-LC-KJ,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000483,SNU-182,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HCC
ACH-000484,VMRC-RCW,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,RCC
ACH-000485,GSU,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,STAD
ACH-000486,KU-19-19,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA
ACH-000487,F-36P,Myeloid,Myelodysplastic Syndromes,Myelodysplastic Syndromes,MDS
ACH-000488,TE-11,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,ESCC
ACH-000489,SW1116,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-000490,SF767,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,CESC
ACH-000491,NCI-H716,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-000492,MUTZ-5,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,BLL
ACH-000493,SNU-423,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HCC
ACH-000494,OELE,Ovary/Fallopian Tube,Non-Cancerous,Immortalized Ovarian Cells,
ACH-000495,TUHR4TKB,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,RCC
ACH-000496,NCI-H1792,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000498,KO52,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,AML
ACH-000499,EW8,Bone,Ewing Sarcoma,Ewing Sarcoma,ES
ACH-000500,SNU-46,Head and Neck,Head and Neck Squamous Cell Carcinoma,Larynx Squamous Cell Carcinoma,LXSC
ACH-000501,LS123,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,COAD
ACH-000502,TCC-PAN2,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000503,BICR 16,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC
ACH-000504,SNB75,CNS/Brain,Diffuse Glioma,Glioblastoma,GB
ACH-000505,RKN,Soft Tissue,Leiomyosarcoma,Leiomyosarcoma,LMS
ACH-000506,NCI-H146,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000507,KE-39,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,STAD
ACH-000508,COR-L88,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000509,HuT 78,Lymphoid,Mature T and NK Neoplasms,Sezary Syndrome,SS
ACH-000510,NCI-H1299,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC
ACH-000511,Calu-1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC
ACH-000512,INA6,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,PCM
ACH-000513,SNU-1272,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,CCRCC
ACH-000514,NCI-H1092,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000515,HCC-33,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC
ACH-000516,CAL-78,Bone,Chondrosarcoma,Dedifferentiated Chondrosarcoma,DDCHS
ACH-000517,SNU-410,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PAAD
ACH-000518,CAL-33,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,OCSC
ACH-000519,PEER,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,TLL
ACH-000520,59M,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,HGSOC
ACH-000521,NCI-H2030,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD
ACH-000522,UM-UC-3,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BLCA
